sent_id,doc_id,sent_index,date,speaker,sentence
1-31,1,31,2022-01-20,Board of Governors of the Federal Reserve System,A CBDC could potentially offer a range of benefits.
1-32,1,32,2022-01-20,Board of Governors of the Federal Reserve System,"For example, it could provide households and businesses a convenient, electronic form of central bank money, with the safety and liquidity that would entail; give entrepreneurs a platform on which to create new financial products and services; support faster and cheaper payments (including cross-border payments); and expand consumer access to the financial system."
1-33,1,33,2022-01-20,Board of Governors of the Federal Reserve System,"A CBDC could also pose certain risks and would raise a variety of important policy questions, including how it might affect financial-sector market structure, the cost and availability of credit, the safety and stability of the financial system, and the efficacy of monetary policy."
1-34,1,34,2022-01-20,Board of Governors of the Federal Reserve System,The introduction of a CBDC would represent a highly significant innovation in American money.
1-35,1,35,2022-01-20,Board of Governors of the Federal Reserve System,"Accordingly, broad consultation with the general public and key stakeholders is essential."
1-36,1,36,2022-01-20,Board of Governors of the Federal Reserve System,This paper is the first step in such a conversation.
1-37,1,37,2022-01-20,Board of Governors of the Federal Reserve System,"It describes the economic context for a CBDC, key policy considerations, and the potential risks and benefits of a U.S. CBDC."
1-38,1,38,2022-01-20,Board of Governors of the Federal Reserve System,It also solicits feedback from all interested parties.
1-39,1,39,2022-01-20,Board of Governors of the Federal Reserve System,"The Federal Reserve does not intend to proceed with issuance of a CBDC without clear support from the executive branch and from Congress, ideally in the form of a specific authorizing law."
1-40,1,40,2022-01-20,Board of Governors of the Federal Reserve System,"Money serves as a means of payment, a store of value, and a unit of account."
1-41,1,41,2022-01-20,Board of Governors of the Federal Reserve System,"In the United States, money takes multiple forms:"
1-42,1,42,2022-01-20,Board of Governors of the Federal Reserve System,Central bank money is a liability of the central bank.
1-43,1,43,2022-01-20,Board of Governors of the Federal Reserve System,"In the United States, central bank money comes in the form of physical currency issued by the Federal Reserve and digital balances held by commercial banks at the Federal Reserve."
1-44,1,44,2022-01-20,Board of Governors of the Federal Reserve System,Commercial bank money is the digital form of money that is most commonly used by the public.
1-45,1,45,2022-01-20,Board of Governors of the Federal Reserve System,Commercial bank money is held in accounts at commercial banks.
1-46,1,46,2022-01-20,Board of Governors of the Federal Reserve System,Nonbank money is digital money held as balances at nonbank financial service providers.
1-47,1,47,2022-01-20,Board of Governors of the Federal Reserve System,"These firms typically conduct balance transfers on their own books using a range of technologies, including mobile apps."
1-48,1,48,2022-01-20,Board of Governors of the Federal Reserve System,The different types of money carry different amounts of credit and liquidity risk.
1-49,1,49,2022-01-20,Board of Governors of the Federal Reserve System,"Commercial bank money has very little credit or liquidity risk due to federal deposit insurance, the supervision and regulation of commercial banks, and commercial banks' access to central bank liquidity."
1-50,1,50,2022-01-20,Board of Governors of the Federal Reserve System,Nonbank money lacks the full range of protections of commercial bank money and therefore generally carries more credit and liquidity risk.
1-51,1,51,2022-01-20,Board of Governors of the Federal Reserve System,"Central bank money carries neither credit nor liquidity risk, and is therefore considered the safest form of money."
1-52,1,52,2022-01-20,Board of Governors of the Federal Reserve System,Central bank money serves as the foundation of the financial system and the overall economy.
1-53,1,53,2022-01-20,Board of Governors of the Federal Reserve System,"Commercial bank money and nonbank money are denominated in the same units as central bank money (i.e., U.S. dollars) and are intended to be convertible into central bank money."
1-54,1,54,2022-01-20,Board of Governors of the Federal Reserve System,"The U.S. payment system connects a broad range of financial institutions, households, and businesses."
1-55,1,55,2022-01-20,Board of Governors of the Federal Reserve System,Most payments in the United States rely on interbank payment services—such as the ACH network or wire-transfer systems—to move money from a sender's account at one bank to a recipient's account at another bank.
1-56,1,56,2022-01-20,Board of Governors of the Federal Reserve System,"Accordingly, interbank payment services are critical to the functioning and stability of the financial system and the economy more broadly."
1-57,1,57,2022-01-20,Board of Governors of the Federal Reserve System,"The firms that operate interbank payment services are subject to federal supervision, and systemically important payment firms are subject to heightened supervision and regulation."
1-58,1,58,2022-01-20,Board of Governors of the Federal Reserve System,"Interbank payment systems may initially settle in commercial bank money, or in central bank money, depending on their design."
1-59,1,59,2022-01-20,Board of Governors of the Federal Reserve System,"However, because central bank money has no credit or liquidity risk, central bank payment systems tend to underpin interbank payments and serve as the backbone of the broader payment system."
1-60,1,60,2022-01-20,Board of Governors of the Federal Reserve System,The use of central bank money to settle interbank payments promotes financial stability because it eliminates credit and liquidity risk in systemically important payment systems.
1-61,1,61,2022-01-20,Board of Governors of the Federal Reserve System,"Recent improvements to the U.S. payment system have focused on making payments faster, cheaper, more convenient, and more accessible."
1-62,1,62,2022-01-20,Board of Governors of the Federal Reserve System,"""Instant"" payments have been a particularly active field of private- and public-sector innovation."
1-63,1,63,2022-01-20,Board of Governors of the Federal Reserve System,"For example, The Clearing House has developed the RTP network, which is a real-time interbank payment system for lower-value payments."
1-64,1,64,2022-01-20,Board of Governors of the Federal Reserve System,"The Federal Reserve is also building a new interbank settlement service for instant payments, the FedNow Service, scheduled to debut in 2023."
1-65,1,65,2022-01-20,Board of Governors of the Federal Reserve System,"These instant payment services will enable commercial banks to provide payment services to households and businesses around the clock, every day of the year, with recipients gaining immediate access to transferred funds."
1-66,1,66,2022-01-20,Board of Governors of the Federal Reserve System,The growth of these instant payment services also could reduce the costs and fees associated with certain types of payments.
1-67,1,67,2022-01-20,Board of Governors of the Federal Reserve System,"In addition, a host of consumer-focused services that are accessible through mobile devices have made digital payments faster and more convenient."
1-68,1,68,2022-01-20,Board of Governors of the Federal Reserve System,"Some of these new payment services, however, could pose financial stability, payment system integrity, and other risks."
1-69,1,69,2022-01-20,Board of Governors of the Federal Reserve System,"For example, if the growth of nonbank payment services were to cause a large-scale shift of money from commercial banks to nonbanks, the resulting lack of equivalent protections that come with commercial bank money could introduce run risk or other instabilities to the financial system."
1-70,1,70,2022-01-20,Board of Governors of the Federal Reserve System,"While the existing U.S. payment system is generally effective and efficient, certain challenges remain."
1-71,1,71,2022-01-20,Board of Governors of the Federal Reserve System,"In particular, a significant number of Americans currently lack access to digital banking and payment services."
1-72,1,72,2022-01-20,Board of Governors of the Federal Reserve System,"Additionally, some payments—especially cross-border payments—remain slow and costly."
1-73,1,73,2022-01-20,Board of Governors of the Federal Reserve System,"Digital financial services and commercial bank money have become more accessible over time, and increasing numbers of Americans have opened and maintain bank accounts."
1-74,1,74,2022-01-20,Board of Governors of the Federal Reserve System,"Nonetheless, more than 7 million—or over 5 percent of U.S. households—remain unbanked."
1-75,1,75,2022-01-20,Board of Governors of the Federal Reserve System,"Nearly 20 percent more have bank accounts, but still rely on more costly financial services such as money orders, check-cashing services, and payday loans."
1-76,1,76,2022-01-20,Board of Governors of the Federal Reserve System,A variety of public- and private-sector efforts are underway to support financial inclusion.
1-77,1,77,2022-01-20,Board of Governors of the Federal Reserve System,"For example, the private-sector Bank On initiative promotes low-cost, low-risk consumer checking accounts."
1-78,1,78,2022-01-20,Board of Governors of the Federal Reserve System,"The Federal Reserve Bank of Atlanta has also formed a Special Committee on Payments Inclusion, a public-private sector collaboration that is working to promote access to digital payments for vulnerable populations."
1-79,1,79,2022-01-20,Board of Governors of the Federal Reserve System,"Cross-border payments currently face a number of challenges, including slow settlement, high fees, and limited accessibility."
1-80,1,80,2022-01-20,Board of Governors of the Federal Reserve System,"The sources of these frictions include the mechanics of currency exchange, variations in different countries' legal regimes and technological infrastructure, timezone complications, and coordination problems among intermediaries, including correspondent banks and nonbank financial service providers."
1-81,1,81,2022-01-20,Board of Governors of the Federal Reserve System,Regulatory requirements related to money laundering and other illicit activities introduce further complications.
1-82,1,82,2022-01-20,Board of Governors of the Federal Reserve System,"Finally, certain destination countries for cross-border payments have limited competition, allowing existing providers to charge high fees."
1-83,1,83,2022-01-20,Board of Governors of the Federal Reserve System,"As of the second quarter of 2021, the average cost of sending a remittance from the United States to other countries was 5.41 percent of the notional value of the transaction."
1-84,1,84,2022-01-20,Board of Governors of the Federal Reserve System,These high costs have a significant impact on households that make remittance transactions.
1-85,1,85,2022-01-20,Board of Governors of the Federal Reserve System,High costs for cross-border payments also affect smaller businesses that make infrequent global payments to suppliers.
1-86,1,86,2022-01-20,Board of Governors of the Federal Reserve System,"Reducing these costs could benefit economic growth, enhance global commerce, improve international remittances, and reduce inequality."
1-87,1,87,2022-01-20,Board of Governors of the Federal Reserve System,Technological innovation has recently ushered in a wave of digital assets with money-like characteristics.
1-88,1,88,2022-01-20,Board of Governors of the Federal Reserve System,"These ""cryptocurrencies"" arose from a combination of cryptographic and distributedledger technologies, which together provide a foundation for decentralized, peer-to-peer payments."
1-89,1,89,2022-01-20,Board of Governors of the Federal Reserve System,Cryptocurrencies have not been widely adopted as a means of payment in the United States.
1-90,1,90,2022-01-20,Board of Governors of the Federal Reserve System,"They remain subject to extreme price volatility, are difficult to use without service providers, and have severe limitations on transaction throughput."
1-91,1,91,2022-01-20,Board of Governors of the Federal Reserve System,"Many cryptocurrencies also come with a significant energy footprint and make consumers vulnerable to loss, theft, and fraud."
1-92,1,92,2022-01-20,Board of Governors of the Federal Reserve System,"Stablecoins are a more recent incarnation of cryptocurrency that peg their value to one or more assets, such as a sovereign currency or commodity."
1-93,1,93,2022-01-20,Board of Governors of the Federal Reserve System,"Stablecoins pegged to the U.S. dollar are predominantly used today to facilitate trading of other digital assets, but many firms are exploring ways to promote stablecoins as a widespread means of payment."
1-94,1,94,2022-01-20,Board of Governors of the Federal Reserve System,A full discussion of stablecoin arrangements is outside the scope of this paper.
1-95,1,95,2022-01-20,Board of Governors of the Federal Reserve System,"However, the President's Working Group on Financial Markets (PWG), along with the Federal Deposit Insurance Corporation (FDIC) and the Office of the Comptroller of the Currency (OCC), recently published a report on payment stablecoins."
1-96,1,96,2022-01-20,Board of Governors of the Federal Reserve System,"The PWG report notes that well-designed and appropriately regulated stablecoins could potentially support faster, more efficient, and more inclusive payment options."
1-97,1,97,2022-01-20,Board of Governors of the Federal Reserve System,"The PWG report also notes, however, that the potential for the increased use of stablecoins as a means of payment raises a range of concerns related to the potential for destabilizing runs, disruptions in the payment system, and concentration of economic power."
1-98,1,98,2022-01-20,Board of Governors of the Federal Reserve System,The PWG report highlights gaps in the authority of regulators to reduce these risks.
1-99,1,99,2022-01-20,Board of Governors of the Federal Reserve System,"To address the risks of payment stablecoins, the PWG report recommends that Congress act promptly to enact legislation that would ensure payment stablecoins and payment stablecoin arrangements are subject to a consistent and comprehensive federal regulatory framework."
1-100,1,100,2022-01-20,Board of Governors of the Federal Reserve System,"Such legislation would complement existing authorities regarding market integrity, investor protection, and illicit finance."
1-101,1,101,2022-01-20,Board of Governors of the Federal Reserve System,The Federal Reserve is considering how a CBDC might fit into the U.S. money and payments landscape.
1-102,1,102,2022-01-20,Board of Governors of the Federal Reserve System,A crucial test for a potential CBDC is whether it would prove superior to other methods that might address issues of concern outlined in this paper.
1-103,1,103,2022-01-20,Board of Governors of the Federal Reserve System,"As noted above, for the purposes of this discussion paper, CBDC is defined as a digital liability of the Federal Reserve that is widely available to the general public."
1-104,1,104,2022-01-20,Board of Governors of the Federal Reserve System,"Today, Federal Reserve notes (i.e., physical currency) are the only type of central bank money available to the general public."
1-105,1,105,2022-01-20,Board of Governors of the Federal Reserve System,"Like existing forms of commercial bank money and nonbank money, a CBDC would enable the general public to make digital payments."
1-106,1,106,2022-01-20,Board of Governors of the Federal Reserve System,"As a liability of the Federal Reserve, however, a CBDC would not require mechanisms like deposit insurance to maintain public confidence, nor would a CBDC depend on backing by an underlying asset pool to maintain its value."
1-107,1,107,2022-01-20,Board of Governors of the Federal Reserve System,"A CBDC would be the safest digital asset available to the general public, with no associated credit or liquidity risk."
1-108,1,108,2022-01-20,Board of Governors of the Federal Reserve System,The Federal Reserve will continue to explore a wide range of design options for a CBDC.
1-109,1,109,2022-01-20,Board of Governors of the Federal Reserve System,"While no decisions have been made on whether to pursue a CBDC, analysis to date suggests that a potential U.S. CBDC, if one were created, would best serve the needs of the United States by being privacy-protected, intermediated, widely transferable, and identity-verified."
1-110,1,110,2022-01-20,Board of Governors of the Federal Reserve System,Privacy-protected: Protecting consumer privacy is critical.
1-111,1,111,2022-01-20,Board of Governors of the Federal Reserve System,"Any CBDC would need to strike an appropriate balance, however, between safeguarding the privacy rights of consumers and affording the transparency necessary to deter criminal activity."
1-112,1,112,2022-01-20,Board of Governors of the Federal Reserve System,"Intermediated: The Federal Reserve Act does not authorize direct Federal Reserve accounts for individuals, and such accounts would represent a significant expansion of the Federal Reserve's role in the financial system and the economy."
1-113,1,113,2022-01-20,Board of Governors of the Federal Reserve System,"Under an intermediated model, the private sector would offer accounts or digital wallets to facilitate the management of CBDC holdings and payments."
1-114,1,114,2022-01-20,Board of Governors of the Federal Reserve System,"Potential intermediaries could include commercial banks and regulated nonbank financial service providers, and would operate in an open market for CBDC services."
1-115,1,115,2022-01-20,Board of Governors of the Federal Reserve System,"Although commercial banks and nonbanks would offer services to individuals to manage their CBDC holdings and payments, the CBDC itself would be a liability of the Federal Reserve."
1-116,1,116,2022-01-20,Board of Governors of the Federal Reserve System,An intermediated model would facilitate the use of the private sector's existing privacy and identity-management frameworks; leverage the private sector's ability to innovate; and reduce the prospects for destabilizing disruptions to the well-functioning U.S. financial system.
1-117,1,117,2022-01-20,Board of Governors of the Federal Reserve System,"Transferable: For a CBDC to serve as a widely accessible means of payment, it would need to be readily transferable between customers of different intermediaries."
1-118,1,118,2022-01-20,Board of Governors of the Federal Reserve System,The ability to transfer value seamlessly between different intermediaries makes the payment system more efficient by allowing money to move freely throughout the economy.
1-119,1,119,2022-01-20,Board of Governors of the Federal Reserve System,Identity-verified: Financial institutions in the United States are subject to robust rules that are designed to combat money laundering and the financing of terrorism.
1-120,1,120,2022-01-20,Board of Governors of the Federal Reserve System,A CBDC would need to be designed to comply with these rules.
1-121,1,121,2022-01-20,Board of Governors of the Federal Reserve System,"In practice, this would mean that a CBDC intermediary would need to verify the identity of a person accessing CBDC, just as banks and other financial institutions currently verify the identities of their customers."
1-122,1,122,2022-01-20,Board of Governors of the Federal Reserve System,"CBDC transactions would need to be final and completed in real time, allowing users to make payments to one another using a risk-free asset."
1-123,1,123,2022-01-20,Board of Governors of the Federal Reserve System,"Individuals, businesses, and governments could potentially use a CBDC to make basic purchases of goods and services or pay bills, and governments could use a CBDC to collect taxes or make benefit payments directly to citizens."
1-124,1,124,2022-01-20,Board of Governors of the Federal Reserve System,"Additionally, a CBDC could potentially be programmed to, for example, deliver payments at certain times."
1-125,1,125,2022-01-20,Board of Governors of the Federal Reserve System,"A CBDC could potentially serve as a new foundation for the payment system and a bridge between different payment services, both legacy and new."
1-126,1,126,2022-01-20,Board of Governors of the Federal Reserve System,It could also maintain the centrality of safe and trusted central bank money in a rapidly digitizing economy.
1-127,1,127,2022-01-20,Board of Governors of the Federal Reserve System,A U.S. CBDC would offer the general public broad access to digital money that is free from credit risk and liquidity risk.
1-128,1,128,2022-01-20,Board of Governors of the Federal Reserve System,"As such, it could provide a safe foundation for private-sector innovations to meet current and future needs and demands for payment services."
1-129,1,129,2022-01-20,Board of Governors of the Federal Reserve System,"All options for private digital money, including stablecoins and other cryptocurrencies, require mechanisms to reduce liquidity risk and credit risk."
1-130,1,130,2022-01-20,Board of Governors of the Federal Reserve System,But all these mechanisms are imperfect.
1-131,1,131,2022-01-20,Board of Governors of the Federal Reserve System,"In our rapidly digitizing economy, the proliferation of private digital money could present risks to both individual users and the financial system as a whole."
1-132,1,132,2022-01-20,Board of Governors of the Federal Reserve System,A U.S. CBDC could mitigate some of these risks while supporting private-sector innovation.
1-133,1,133,2022-01-20,Board of Governors of the Federal Reserve System,A CBDC might also help to level the playing field in payment innovation for private-sector firms of all sizes.
1-134,1,134,2022-01-20,Board of Governors of the Federal Reserve System,"For some smaller firms, the costs and risks of issuing a safe and robust form of private money may be prohibitive."
1-135,1,135,2022-01-20,Board of Governors of the Federal Reserve System,"A CBDC could overcome this barrier and allow private-sector innovators to focus on new access services, distribution methods, and related service offerings."
1-136,1,136,2022-01-20,Board of Governors of the Federal Reserve System,"Finally, a CBDC might generate new capabilities to meet the evolving speed and efficiency requirements of the digital economy."
1-137,1,137,2022-01-20,Board of Governors of the Federal Reserve System,"As noted above, for example, a CBDC could potentially be programmed to deliver payments at certain times."
1-138,1,138,2022-01-20,Board of Governors of the Federal Reserve System,"Additionally, a CBDC could potentially be used to carry out micropayments—financial transactions that usually occur online and involve very small sums of money—which traditional payment systems are not necessarily designed to facilitate."
1-139,1,139,2022-01-20,Board of Governors of the Federal Reserve System,"CBDC has the potential to streamline cross-border payments by using new technologies, introducing simplified distribution channels, and creating additional opportunities for crossjurisdictional collaboration and interoperability."
1-140,1,140,2022-01-20,Board of Governors of the Federal Reserve System,"Realizing these potential improvements would require significant international coordination to address issues such as common standards and infrastructure, the types of intermediaries that would be able to access any new infrastructure, legal frameworks, preventing illicit transactions, and the cost and timing of implementation."
1-141,1,141,2022-01-20,Board of Governors of the Federal Reserve System,Another potential benefit of a U.S.-issued CBDC could be to preserve the dominant international role of the U.S. dollar.
1-142,1,142,2022-01-20,Board of Governors of the Federal Reserve System,The dollar is the world's most widely used currency for payments and investments; it also serves as the world's reserve currency.
1-143,1,143,2022-01-20,Board of Governors of the Federal Reserve System,"The dollar's international role benefits the United States by, among other things, lowering transaction and borrowing costs for U.S. households, businesses, and government."
1-144,1,144,2022-01-20,Board of Governors of the Federal Reserve System,The dollar's international role also allows the United States to influence standards for the global monetary system.
1-145,1,145,2022-01-20,Board of Governors of the Federal Reserve System,"Today, the dollar is widely used across the globe because of the depth and liquidity of U.S. financial markets, the size and openness of the U.S. economy, and international trust in U.S. institutions and rule of law."
1-146,1,146,2022-01-20,Board of Governors of the Federal Reserve System,"It is important, however, to consider the implications of a potential future state in which many foreign countries and currency unions may have introduced CBDCs."
1-147,1,147,2022-01-20,Board of Governors of the Federal Reserve System,"Some have suggested that, if these new CBDCs were more attractive than existing forms of the U.S. dollar, global use of the dollar could decrease—and a U.S. CBDC might help preserve the international role of the dollar."
1-148,1,148,2022-01-20,Board of Governors of the Federal Reserve System,Promoting financial inclusion—particularly for economically vulnerable households and communities—is a high priority for the Federal Reserve.
1-149,1,149,2022-01-20,Board of Governors of the Federal Reserve System,"Private-sector electronic transactions accounts facilitate access to digital payments; enable rapid and cost-effective payment of taxes; enable rapid and cost-effective delivery of wages, tax refunds, and other federal payments; provide a secure way for people to save; and promote access to credit."
1-150,1,150,2022-01-20,Board of Governors of the Federal Reserve System,"Some have suggested that a CBDC could reduce common barriers to financial inclusion and could lower transaction costs, which could be particularly helpful for lower-income households."
1-151,1,151,2022-01-20,Board of Governors of the Federal Reserve System,"Further study would be helpful to assess the potential for CBDC to expand financial inclusion, including cases targeted to underserved and lower income households."
1-152,1,152,2022-01-20,Board of Governors of the Federal Reserve System,"Cash is currently the only central bank money that is available to the general public, and it remains an important and popular means of payment."
1-153,1,153,2022-01-20,Board of Governors of the Federal Reserve System,"According to a 2020 survey, U.S. consumers used cash for 19 percent of total transactions (6 percent by value)."
1-154,1,154,2022-01-20,Board of Governors of the Federal Reserve System,"The Federal Reserve is committed to ensuring the continued safety and availability of cash and is considering a CBDC as a means to expand safe payment options, not to reduce or replace them."
1-155,1,155,2022-01-20,Board of Governors of the Federal Reserve System,"In some jurisdictions, however, digital payments have rapidly supplanted cash."
1-156,1,156,2022-01-20,Board of Governors of the Federal Reserve System,"While cash use in the United States fell from 40 percent of transactions in 2012 (12 percent by value) to 19 percent in 2020, other countries have seen more rapid declines."
1-157,1,157,2022-01-20,Board of Governors of the Federal Reserve System,"In Sweden, for example, the proportion of cash payments fell from 33 percent to less than 10 percent over the same period."
1-158,1,158,2022-01-20,Board of Governors of the Federal Reserve System,"In China, 50 percent of point-of-sale (POS) payments are made with a mobile wallet or app, while cash accounts for just 13 percent of POS payments."
1-159,1,159,2022-01-20,Board of Governors of the Federal Reserve System,"If these trends were to emerge in the United States, consumers might want the option of digitized central bank money that, like cash, would have no credit or liquidity risk attached to it."
1-160,1,160,2022-01-20,Board of Governors of the Federal Reserve System,"Although the introduction of a CBDC could benefit U.S. consumers and the broader financial system, it would also raise complex policy issues and risks."
1-161,1,161,2022-01-20,Board of Governors of the Federal Reserve System,Each of the issues described below will require additional research and analysis.
1-162,1,162,2022-01-20,Board of Governors of the Federal Reserve System,"A CBDC could fundamentally change the structure of the U.S. financial system, altering the roles and responsibilities of the private sector and the central bank."
1-163,1,163,2022-01-20,Board of Governors of the Federal Reserve System,Banks currently rely (in large part) on deposits to fund their loans.
1-164,1,164,2022-01-20,Board of Governors of the Federal Reserve System,"A widely available CBDC would serve as a close—or, in the case of an interest-bearing CBDC, near-perfect—substitute for commercial bank money."
1-165,1,165,2022-01-20,Board of Governors of the Federal Reserve System,"This substitution effect could reduce the aggregate amount of deposits in the banking system, which could in turn increase bank funding expenses, and reduce credit availability or raise credit costs for households and businesses."
1-166,1,166,2022-01-20,Board of Governors of the Federal Reserve System,"Similarly, an interest-bearing CBDC could result in a shift away from other low-risk assets, such as shares in money market mutual funds, Treasury bills, and other short-term instruments."
1-167,1,167,2022-01-20,Board of Governors of the Federal Reserve System,A shift away from these other low-risk assets could reduce credit availability or raise credit costs for businesses and governments.
1-168,1,168,2022-01-20,Board of Governors of the Federal Reserve System,These concerns could potentially be mitigated by CBDC design choices.
1-169,1,169,2022-01-20,Board of Governors of the Federal Reserve System,"A non-interest-bearing CBDC, for example, would be less attractive as a substitute for commercial bank money."
1-170,1,170,2022-01-20,Board of Governors of the Federal Reserve System,"In addition, a central bank might limit the amount of CBDC an end user could hold."
1-171,1,171,2022-01-20,Board of Governors of the Federal Reserve System,"A CBDC could spur innovation by banks and other actors and would be a safer deposit substitute than many other products, including stablecoins and other types of nonbank money."
1-172,1,172,2022-01-20,Board of Governors of the Federal Reserve System,These forms of nonbank money could cause a shift in deposits away from banks even without a CBDC.
1-173,1,173,2022-01-20,Board of Governors of the Federal Reserve System,"Because central bank money is the safest form of money, a widely accessible CBDC would be particularly attractive to risk-averse users, especially during times of stress in the financial system."
1-174,1,174,2022-01-20,Board of Governors of the Federal Reserve System,The ability to quickly convert other forms of money—including deposits at commercial banks—into CBDC could make runs on financial firms more likely or more severe.
1-175,1,175,2022-01-20,Board of Governors of the Federal Reserve System,"Traditional measures such as prudential supervision, government deposit insurance, and access to central bank liquidity may be insufficient to stave off large outflows of commercial bank deposits into CBDC in the event of financial panic."
1-176,1,176,2022-01-20,Board of Governors of the Federal Reserve System,"As with concerns related to financial-sector market structure, some of these flight-to-safety concerns could potentially be mitigated by CBDC design choices."
1-177,1,177,2022-01-20,Board of Governors of the Federal Reserve System,"For example, a central bank could pay no interest on CBDC."
1-178,1,178,2022-01-20,Board of Governors of the Federal Reserve System,"Nonetheless, because a liability of the central bank is essentially riskless, depositors may prefer CBDC over bank deposits in a crisis even if the CBDC has a less attractive rate of return."
1-179,1,179,2022-01-20,Board of Governors of the Federal Reserve System,"A central bank could potentially address this risk by limiting the total amount of CBDC an end user could hold, or it could limit the amount of CBDC an end user could accumulate over short periods."
1-180,1,180,2022-01-20,Board of Governors of the Federal Reserve System,A CBDC's design would influence how it might affect monetary policy.
